iteration,invoice_period,cum_interest_discounted,cum_interest_undiscounted,cum_retained_discounts,cum_total
0,2025-11-01,52396.21173730861,52396.21173730861,0.0,104792.42347461722
0,2025-12-01,127652.97393056334,127652.97393056334,0.0,255305.94786112668
0,2026-01-01,196523.04559516703,196523.04559516703,0.0,393046.09119033406
0,2026-02-01,255394.4665364249,255394.4665364249,0.0,510788.9330728498
0,2026-03-01,303264.74062002334,303264.74062002334,0.0,606529.4812400467
0,2026-04-01,342023.10195734404,342023.10195734404,0.0,684046.2039146881
0,2026-05-01,375949.01206059416,375949.01206059416,0.0,751898.0241211883
0,2026-06-01,410561.9421326485,410561.9421326485,0.0,821123.884265297
0,2026-07-01,451162.1267168259,451162.1267168259,0.0,902324.2534336518
0,2026-08-01,501418.39379791537,501418.39379791537,0.0,1002836.7875958307
0,2026-09-01,562379.950302076,562379.950302076,0.0,1124759.900604152
0,2026-10-01,632224.586906269,632224.586906269,0.0,1264449.173812538
0,2026-11-01,706739.8668866304,706739.8668866304,0.0,1413479.7337732608
0,2026-12-01,780453.029832131,780453.029832131,0.0,1560906.059664262
0,2027-01-01,848110.5519912969,848110.5519912969,0.0,1696221.1039825939
1,2025-11-01,52385.1100800055,52385.1100800055,0.0,104770.220160011
1,2025-12-01,127625.92694523155,127625.92694523155,0.0,255251.8538904631
1,2026-01-01,196481.40648745256,196481.40648745256,0.0,392962.81297490513
1,2026-02-01,255340.35381051234,255340.35381051234,0.0,510680.7076210247
1,2026-03-01,303200.48518798256,303200.48518798256,0.0,606400.9703759651
1,2026-04-01,341950.63444219786,341950.63444219786,0.0,683901.2688843957
1,2026-05-01,375869.35635731043,375869.35635731043,0.0,751738.7127146209
1,2026-06-01,410474.9526761186,410474.9526761186,0.0,820949.9053522372
1,2026-07-01,451066.5349335103,451066.5349335103,0.0,902133.0698670206
1,2026-08-01,501312.15376664506,501312.15376664506,0.0,1002624.3075332901
1,2026-09-01,562260.7937967604,562260.7937967604,0.0,1124521.5875935208
1,2026-10-01,632090.6317887192,632090.6317887192,0.0,1264181.2635774384
1,2026-11-01,706590.1235455668,706590.1235455668,0.0,1413180.2470911336
1,2026-12-01,780287.6682193142,780287.6682193142,0.0,1560575.3364386284
1,2027-01-01,847930.8551698823,847930.8551698823,0.0,1695861.7103397646
2,2025-11-01,52384.97914762248,52384.97914762248,0.0,104769.95829524496
2,2025-12-01,127625.60795445871,127625.60795445871,0.0,255251.21590891742
2,2026-01-01,196480.91539792862,196480.91539792862,0.0,392961.83079585724
2,2026-02-01,255339.71560776822,255339.71560776822,0.0,510679.43121553643
2,2026-03-01,303199.7273626769,303199.7273626769,0.0,606399.4547253537
2,2026-04-01,341949.7797640006,341949.7797640006,0.0,683899.5595280012
2,2026-05-01,375868.416901987,375868.416901987,0.0,751736.833803974
2,2026-06-01,410473.9267268814,410473.9267268814,0.0,820947.8534537628
2,2026-07-01,451065.4075288674,451065.4075288674,0.0,902130.8150577348
2,2026-08-01,501310.900777106,501310.900777106,0.0,1002621.801554212
2,2026-09-01,562259.3884709817,562259.3884709817,0.0,1124518.7769419635
2,2026-10-01,632089.0519288586,632089.0519288586,0.0,1264178.1038577172
2,2026-11-01,706588.3574801991,706588.3574801991,0.0,1413176.7149603982
2,2026-12-01,780285.7179528418,780285.7179528418,0.0,1560571.4359056836
2,2027-01-01,847928.7358346869,847928.7358346869,0.0,1695857.4716693738
3,2025-11-01,52385.346487685994,52385.346487685994,0.0,104770.69297537199
3,2025-12-01,127626.50290563928,127626.50290563928,0.0,255253.00581127856
3,2026-01-01,196482.2931843307,196482.2931843307,0.0,392964.5863686614
3,2026-02-01,255341.50613071726,255341.50613071726,0.0,510683.0122614345
3,2026-03-01,303201.8534951851,303201.8534951851,0.0,606403.7069903702
3,2026-04-01,341952.17762414797,341952.17762414797,0.0,683904.3552482959
3,2026-05-01,375871.0526103596,375871.0526103596,0.0,751742.1052207192
3,2026-06-01,410476.8051000481,410476.8051000481,0.0,820953.6102000962
3,2026-07-01,451068.57054235233,451068.57054235233,0.0,902137.1410847047
3,2026-08-01,501314.41612790176,501314.41612790176,0.0,1002628.8322558035
3,2026-09-01,562263.3312118748,562263.3312118748,0.0,1124526.6624237497
3,2026-10-01,632093.4843374662,632093.4843374662,0.0,1264186.9686749324
3,2026-11-01,706593.3123015303,706593.3123015303,0.0,1413186.6246030605
3,2026-12-01,780291.1895634036,780291.1895634036,0.0,1560582.3791268072
3,2027-01-01,847934.681779512,847934.681779512,0.0,1695869.363559024
4,2025-11-01,52382.85875639068,52382.85875639068,0.0,104765.71751278135
4,2025-12-01,127620.44204193067,127620.44204193067,0.0,255240.88408386134
4,2026-01-01,196472.96242329723,196472.96242329723,0.0,392945.92484659445
4,2026-02-01,255329.38020050232,255329.38020050232,0.0,510658.76040100463
4,2026-03-01,303187.4547216671,303187.4547216671,0.0,606374.9094433342
4,2026-04-01,341935.9386338423,341935.9386338423,0.0,683871.8772676846
4,2026-05-01,375853.2028442843,375853.2028442843,0.0,751706.4056885686
4,2026-06-01,410457.31193903054,410457.31193903054,0.0,820914.6238780611
4,2026-07-01,451047.1497162148,451047.1497162148,0.0,902094.2994324296
4,2026-08-01,501290.6091733733,501290.6091733733,0.0,1002581.2183467466
4,2026-09-01,562236.6298501575,562236.6298501575,0.0,1124473.259700315
4,2026-10-01,632063.4668068403,632063.4668068403,0.0,1264126.9336136805
4,2026-11-01,706559.7568434887,706559.7568434887,0.0,1413119.5136869773
4,2026-12-01,780254.1342618379,780254.1342618379,0.0,1560508.2685236759
4,2027-01-01,847894.4141515269,847894.4141515269,0.0,1695788.8283030537
